Price,Close,High,Low,Open,Volume
Ticker,GD,GD,GD,GD,GD
Date,,,,,
2021-08-18,177.9746551513672,180.35306718962383,177.74856946489422,179.86472817847928,1004800
2021-08-19,176.7899627685547,178.4629885160158,175.52387468485938,176.80803968749444,738000
2021-08-20,178.42678833007812,178.9693855819592,176.5638448801925,176.9165379236255,1242300
2021-08-23,179.06887817382812,180.05462212225873,178.26401378970112,179.13218878116905,556700
2021-08-24,179.89181518554688,180.50677528416168,179.1683383986003,179.6657295520743,416900
2021-08-25,180.23545837402344,180.93180594488078,179.25876684324422,180.47963470651104,396100
2021-08-26,180.02748107910156,180.31686352439772,179.1683446028182,179.85565378384487,483700
2021-08-27,180.61529541015625,181.3387722108728,180.06364590201673,180.75094127315276,622000
2021-08-30,180.13601684570312,180.8775706521249,179.53914737766377,180.80522158334674,396000
2021-08-31,181.1488800048828,181.564883709278,180.1721882546792,180.2354988658765,786500
2021-09-01,180.67860412597656,181.77286475659523,179.53913740415993,181.77286475659523,784600
2021-09-02,182.94851684570312,183.0389428292173,181.14887004393802,181.14887004393802,948000
2021-09-03,183.0931854248047,183.4910845265533,181.94466660608998,182.67718181043273,881300
2021-09-07,183.02987670898438,183.80761180536754,181.5467555715992,182.3787490097254,1396900
2021-09-08,184.8476104736328,185.3902215197008,182.2883332173884,182.83996892202228,1085700
2021-09-09,184.31407165527344,186.71058793604016,184.27790402123037,185.3902416071044,1237400
2021-09-10,182.31546020507812,185.51682670083508,182.27927877621536,185.34499941166683,1045000
2021-09-13,180.34397888183594,183.4730099893783,178.55338460366872,182.98465731404184,1484900
2021-09-14,177.84800720214844,181.25736864204512,177.18782721264125,181.25736864204512,1007700
2021-09-15,179.49391174316406,180.38017740859055,177.32349506686057,177.80279553120403,930900
2021-09-16,176.23826599121094,180.4163238111017,176.19304610761455,179.88276506250904,819600
2021-09-17,176.45533752441406,177.06124545799605,175.05361742390485,175.5509948535441,2722100
2021-09-20,174.92697143554688,175.9579351815756,172.78368402478046,175.44245330856126,940400
2021-09-21,172.90127563476562,176.14786247727406,172.44910430408177,175.37916569544194,726000
2021-09-22,175.2163543701172,176.301562579285,173.93218971269866,174.33914106624022,698200
2021-09-23,177.9293975830078,178.95130908524254,176.34679811276504,176.8894091650886,639000
2021-09-24,178.53530883789062,179.16834587820634,177.8118320207416,177.8389611939571,468900
2021-09-27,178.84275817871094,181.05840822345158,178.5443235139193,179.20450343868748,645900
2021-09-28,178.24591064453125,179.69285035183606,176.65425902757323,178.8698953725381,887700
2021-09-29,179.41249084472656,180.43440218761592,178.2368429474577,179.14118536086912,672000
2021-09-30,177.2782745361328,180.40730592896773,177.26018382079684,179.9280054663595,1059500
2021-10-01,179.25877380371094,180.23546537241427,175.4967056425955,178.39965117728357,876700
2021-10-04,178.61666870117188,180.63336225908273,177.06119861485527,178.75232834541683,853100
2021-10-05,179.20452880859375,180.56104267741281,177.81183350906946,179.26782561356885,959000
2021-10-06,180.28976440429688,180.33498429992946,176.34682961077613,178.26403175285992,727100
2021-10-07,183.5285186767578,183.94702039968172,181.72717187381457,181.85453954913308,664200
2021-10-08,183.88333129882812,184.53836902988166,182.73702221050223,183.71957880708254,723100
2021-10-11,184.57476806640625,187.2676886260995,183.67408771404342,184.22904985159386,701700
2021-10-12,185.184326171875,186.91288959204684,184.4110134469349,184.57477983145574,796300
2021-10-13,185.0387420654297,185.6482883496119,182.80069423037148,185.02964933236495,674100
2021-10-14,186.630859375,187.11303802344582,185.04784913091,186.2487563261582,737100
2021-10-15,189.28736877441406,190.07886684473695,187.1857953587055,187.1857953587055,1076700
2021-10-18,188.01370239257812,189.4784375626279,187.17671284998326,188.2502383887348,591300
2021-10-19,189.796875,190.1698853327977,187.45876516292827,188.39583042100458,746000
2021-10-20,189.63308715820312,190.7157192539934,189.205492735798,189.79683963553222,939500
2021-10-21,189.26919555664062,189.41476258889824,186.64905838618475,189.1964259225481,831300
2021-10-22,190.6156768798828,191.2434225830873,188.7506391204883,189.87876283943817,767800
2021-10-25,189.15097045898438,190.71578164823032,189.05089484053124,190.19720420296255,672500
2021-10-26,186.1123046875,186.98567915974965,180.71734255226923,181.23591992432247,1855400
2021-10-27,187.22222900390625,189.87877908164322,183.1100639530226,186.4944215173329,1138800
2021-10-28,184.3291473388672,188.76884496656848,182.94628819741254,188.55049440253757,1119700
2021-10-29,184.45651245117188,185.63922036290123,183.18283555056308,184.32005202683416,1485500
2021-11-01,183.67405700683594,185.4481114509262,181.74534282987963,184.51104643989305,767700
2021-11-02,183.5467529296875,185.1024712930991,182.8371309062473,184.2381756011826,847800
2021-11-03,183.05543518066406,183.09181999331287,179.7802467608891,182.81888531132586,1338300
2021-11-04,180.28065490722656,183.0281598887351,179.78027688674092,182.61876473816938,1138400
2021-11-05,182.86439514160156,183.1919140165396,181.05394165485575,182.18206530898365,1306700
