Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2015-01-02,113.81512451171875,115.05285155679303,113.17214416744133,114.02408791148116,1471000
2015-01-05,112.52117156982422,114.25721544593605,112.36042949177707,113.87946481741632,1748500
2015-01-06,114.00804138183594,114.88409596237362,112.40059638393247,113.01142106815624,3185200
2015-01-07,115.99325561523438,116.0816533310761,114.41795386751183,114.61085171330461,2171600
2015-01-08,116.98981475830078,117.42383166334284,116.49151086212478,116.98981475830078,2937700
2015-01-09,115.18953704833984,116.5799738105989,115.10915987713364,116.1218460096256,1727000
2015-01-12,114.54652404785156,115.8646283412369,114.22502771786061,115.39846786062328,1344800
2015-01-13,113.39728546142578,116.06565195125715,112.83468176291942,114.28941856328616,2198500
2015-01-14,111.96658325195312,112.68994088440918,111.10660652542657,112.52918656797506,2207900
2015-01-15,111.96658325195312,112.65778511558936,111.4120127462199,112.48096517857783,1819600
2015-01-16,112.29612731933594,112.48902516633152,111.09054336924044,111.74958955143224,1784800
2015-01-20,112.02285766601562,113.54189285900084,111.2030571965818,113.0998429850986,1836100
2015-01-21,111.82996368408203,112.28004638435098,111.2191389142647,111.59688952281196,1682000
2015-01-22,113.54186248779297,113.5498952965031,111.22713814094722,112.11927046097485,1897500
2015-01-23,114.16883087158203,114.37779439316448,113.22043155152011,113.79911297234229,1696800
2015-01-26,114.8600082397461,114.97252892154944,113.78302281908059,113.85535491513248,1482800
2015-01-27,113.31685638427734,114.7715923613818,113.22040133066137,114.73140377769464,1786500
2015-01-28,112.21575164794922,114.49028820247585,112.16753025151536,113.80713131327235,2016300
2015-01-29,113.03555297851562,113.07574156377292,111.64511622822052,112.64976954048116,1873400
2015-01-30,114.92431640625,115.57532984870048,113.59816655696616,115.00468132012948,5169000
2015-02-02,117.34353637695312,117.52838919901494,112.62568716074608,115.73609067315925,4797500
2015-02-03,123.57240295410156,123.68492367599403,116.35497433251089,117.63289087339783,10302900
2015-02-04,125.31641387939453,126.06388220038215,122.22208953488766,122.23012234511009,11006300
2015-02-05,123.79686737060547,125.4658788299978,122.49322457584402,124.13731388094399,6986700
2015-02-06,123.47306060791016,124.51099826041468,123.02467711688865,123.89654727901991,2927400
2015-02-09,122.50985717773438,123.85503305423342,121.91201671834786,123.47306640531691,2740200
2015-02-10,123.07450103759766,123.29038751673554,122.06147283447602,122.88352404950885,1703400
2015-02-11,122.7374038696289,123.5863852734922,121.97996807745587,123.51147739089659,2295800
2015-02-12,122.987060546875,123.51144097153522,122.23795654069136,123.19514640420965,1712200
2015-02-13,122.4377212524414,123.85270251581677,122.30454325809835,123.37826067367686,1926800
2015-02-17,122.79561614990234,122.8622051434546,121.23913811484272,122.35447518060147,1541500
2015-02-18,122.54594421386719,122.75403011308953,121.9633062361557,122.48768676637373,1541000
2015-02-19,122.0798568725586,122.7790225777701,121.9050717965346,122.27129237981842,1273700
2015-02-20,122.80393981933594,123.01202566962668,121.43889714945082,122.07980512450095,1595600
2015-02-23,123.51145935058594,123.56972949557584,122.37947161021853,123.18684587286207,1587300
2015-02-24,123.36164093017578,124.35211906851728,123.18684319955409,124.33548134221384,1844200
2015-02-25,122.75403594970703,123.68626945892592,122.5126618833768,122.93715256577381,1602700
2015-02-26,122.06319427490234,122.86224978732669,121.68864216305452,122.4127897932206,1892600
2015-02-27,122.32125091552734,122.82064957714901,121.38069835366333,122.82064957714901,3036200
2015-03-02,123.13691711425781,123.59470864514354,122.62086813428974,122.62086813428974,2108600
2015-03-03,122.6624755859375,123.30338373143009,122.0715187262627,123.13691754703814,1514300
2015-03-04,122.49597930908203,123.17017544560711,121.33902246602663,123.05364787510342,2208600
2015-03-05,125.82536315917969,126.3081239047602,124.01917931999519,125.49243084525351,4471100
2015-03-06,124.46865844726562,124.97638855981948,123.3283517602822,124.26057254376904,3014900
2015-03-09,125.4175033569336,125.67554049162115,124.47696390675456,124.67671820386367,1727900
2015-03-10,123.32000732421875,124.97636264422749,123.31167576145096,124.64343034789339,2128100
2015-03-11,122.68742370605469,124.01085948988775,122.63748512941072,123.46150974569694,1734300
2015-03-12,124.38545989990234,124.55192612032037,122.68747143018635,123.50317750118415,1564000
2015-03-13,124.25221252441406,124.77659289171544,123.31166048796592,124.09406525805007,1470100
2015-03-16,124.84317016601562,125.68383228659543,124.25220086304847,124.61843392961401,2532700
2015-03-17,124.87649536132812,125.01799223347676,123.54474066967018,124.34379602477574,1972500
2015-03-18,125.6255874633789,126.20823802328944,123.39491317310846,124.85151417177921,2772500
2015-03-19,125.94192504882812,126.10007238622012,125.11791290218562,125.68390053015999,1862900
2015-03-20,127.00727081298828,127.47338106455048,126.30810543564499,126.62439997801297,5859300
2015-03-23,127.29025268554688,127.81463302012484,127.0988172858401,127.47336922458837,1665900
2015-03-24,127.46512603759766,128.37237771020762,127.25704009247289,127.30697868721353,1637000
2015-03-25,125.75880432128906,128.1476393336703,125.75880432128905,127.80637537467915,2266800
2015-03-26,124.90147399902344,125.4924435215745,124.16068873023843,124.28554788598835,1554800
2015-03-27,125.24275970458984,125.867017490304,124.86820757327278,125.02635491107618,1329900
2015-03-30,126.82421112060547,127.00732775875844,125.51743805803109,125.60899637710757,1463800
2015-03-31,126.10005950927734,127.34857494996325,125.89197360249635,126.38305329436608,1886100
2015-04-01,125.05127716064453,126.40798826813983,124.60180461171538,126.37470012033697,1795000
2015-04-02,126.20824432373047,126.51620734321777,125.15116456148415,125.24272285113624,1095300
2015-04-06,126.9323959350586,127.21538970409206,125.3509482134668,125.99184362559167,1767600
2015-04-07,126.3331298828125,127.30697051944968,126.28319129127583,126.95738767813562,1391700
2015-04-08,126.51620483398438,127.07387342333094,125.8420086692602,126.70764027198616,1483000
2015-04-09,123.86106872558594,125.6839035307368,123.41160869855572,125.32600182224797,3401800
2015-04-10,124.55187225341797,124.87648568803793,123.70287838573768,124.3521052549776,1572900
2015-04-13,124.03585052490234,125.13453750535862,123.96092994624729,124.3854333232546,1120200
2015-04-14,124.45205688476562,124.93481784523318,122.95383540410069,124.01923452356034,1540800
2015-04-15,124.07745361328125,125.40919561411486,124.06080318686153,124.50194423282846,1404700
2015-04-16,122.44611358642578,123.93600360289918,122.27964734388756,123.8194759630664,2680600
2015-04-17,120.33189392089844,122.12974604963087,119.10834808156993,122.00489961727189,4369300
2015-04-20,121.78019714355469,122.56260220499988,121.31408673262297,122.06319093582665,2881900
2015-04-21,122.63751220703125,123.25345108959412,122.02158602502476,122.33786798045423,1616700
2015-04-22,122.33788299560547,123.1286070320633,121.7552449003501,123.1286070320633,1423500
2015-04-23,122.60424041748047,123.14525879021237,121.74692734653469,122.0216023159481,1351800
2015-04-24,123.28673553466797,123.51979073714683,122.24630598768879,122.62918964922177,1421100
2015-04-27,122.32125091552734,123.61137365013555,122.2380114549778,123.43658856376345,1717000
2015-04-28,122.02989196777344,122.51265276505916,121.56378159813343,122.26294715259344,1302100
2015-04-29,120.56930541992188,122.06327078877881,120.07686955466353,121.75446522173755,1719000
2015-04-30,119.39250183105469,120.93654259026064,118.96683709440867,120.06020098368795,2523200
2015-05-01,121.34551239013672,121.63763475170957,119.53438686017077,119.73470042827519,1504700
2015-05-04,121.64598083496094,122.02991200407958,120.69451363835688,121.34551683943847,1288800
2015-05-05,120.60274505615234,121.6376797714485,120.42746902727619,121.12020604614698,1769600
2015-05-06,120.82808685302734,121.7211247089251,120.1937667365669,121.31216856573973,1737300
2015-05-07,120.65277099609375,121.52912531186901,120.19372704637321,120.61939177034212,2564500
2015-05-08,121.75450897216797,123.15666606340814,121.68773776754152,121.8546594114551,1728700
2015-05-11,120.4107666015625,122.1300837006261,120.35233702280554,121.47072602613558,1905800
2015-05-12,120.24382781982422,121.02001907057277,119.70131664487775,120.1853982493964,1923900
2015-05-13,119.55108642578125,121.26204885534287,119.11708004952682,120.08524322143957,2135900
2015-05-14,119.01696014404297,120.29392926004584,118.12390955772018,120.29392926004584,3023400
2015-05-15,120.8781509399414,120.98665573624646,119.13379625098567,119.53441073189741,2357000
