Price,Close,High,Low,Open,Volume
Ticker,LMT,LMT,LMT,LMT,LMT
Date,,,,,
2015-01-02,141.95643615722656,142.81561970940479,140.28946745074484,141.06788369272445,902100
2015-01-05,139.00437927246094,142.83032768470338,138.497689836001,141.65536935019097,1506200
2015-01-06,138.35076904296875,140.25273352194705,137.17582227544787,139.24667197601437,1205800
2015-01-07,140.1351776123047,140.2747050745368,138.9528807023708,139.02631974730087,941900
2015-01-08,143.29290771484375,144.57801293816178,140.1866167358592,140.1866167358592,1950900
2015-01-09,143.21212768554688,144.71753888630727,143.06526075979107,143.26352606720874,1439500
2015-01-12,142.80819702148438,144.1006413096073,142.25009837086372,143.57191155418766,896400
2015-01-13,142.72015380859375,145.72362634828295,141.4937860916732,144.03462825721897,1095000
2015-01-14,141.8976593017578,142.6393558539649,140.72271255026553,142.57325620504253,1101100
2015-01-15,141.26608276367188,142.99913911344797,140.88423105651336,142.58056787919404,896600
2015-01-16,142.9844970703125,143.028556032077,140.90629680032814,140.90629680032814,1085600
2015-01-20,143.74822998046875,144.6588230573954,141.73611789986035,144.39445804830254,857800
2015-01-21,143.56463623046875,144.4825686871853,142.54389578680914,143.19746324778214,966600
2015-01-22,145.46653747558594,145.8116808520761,143.40302784501256,144.66610334935396,1307900
2015-01-23,144.9892578125,146.04671771244932,144.62942428383607,145.39315030279027,1313000
2015-01-26,143.69679260253906,144.60738550343126,141.75078055432704,144.11537512152913,1338900
2015-01-27,139.92958068847656,142.0885589212784,139.76068430852771,141.72872548073593,1942700
2015-01-28,138.97496032714844,143.0505822765994,138.79137385379687,140.87691350181586,1570400
2015-01-29,141.36155700683594,141.3835864829383,137.39609443522843,138.98227274073528,2017000
2015-01-30,138.32872009277344,140.23068430406545,138.26263165748043,139.356810975542,2287900
2015-02-02,139.03372192382812,139.349485308055,136.59568795860164,138.35812498538985,1554000
2015-02-03,140.99441528320312,141.214721298129,139.2246389437787,139.8047784899245,1618200
2015-02-04,141.2000274658203,142.11795983243567,139.98101059370018,140.50974053328892,1230900
2015-02-05,142.50718688964844,142.80827144719112,140.68601189698552,141.78753092730463,1063200
2015-02-06,143.3737030029297,144.62942826476134,141.65532501559903,142.67606540721252,1127100
2015-02-09,141.74337768554688,143.19003927961126,141.50838173686347,142.72005858746803,1208300
2015-02-10,143.68943786621094,143.91708326586885,142.37496384630197,143.27086659705256,1280600
