Asset,Binomial,Kupiec,Christoffersen,Conditional Coverage,KS,Elapsed_Time_Sec
PLTR,"(0.951458501481197, True)","(0.8559516455567326, True)","(0.6776855249532965, True)","(0.9022641021661861, True)","(0.43399886462435955, True)",38.32
AIG,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.5668832358380227, True)","(0.4126565474177638, True)","(0.23969518798852074, True)",36.58
MA,"(0.0036960116021815858, False)","(0.002782877430933528, False)","(0.39521968637069427, True)","(0.007956851089697237, False)","(0.51267345005372, True)",41.64
HON,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.11737194850874533, True)","(0.2004769183262204, True)","(0.3657114934586968, True)",27.18
AAPL,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.14699459115931912, True)","(0.169863617323319, True)","(0.738249610923843, True)",42.19
TMUS,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.6217508428544145, True)","(0.6048701807188488, True)","(0.378972446984044, True)",39.49
WMT,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.6028999280432492, True)","(0.5966907314487402, True)","(0.1460070809759223, True)",40.17
LMT,"(0.04197047468106364, False)","(0.033239714429640355, False)","(0.4651953232101522, True)","(0.07939041092050003, True)","(0.09394738700201166, True)",31.75
BMY,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.11737194850874533, True)","(0.2004769183262204, True)","(0.49465244837499645, True)",34.91
MU,"(0.0836828442030711, True)","(0.06753056991589323, True)","(0.21677151682999474, True)","(0.08770016411245851, True)","(0.441440771577866, True)",39.53
JNJ,"(0.261564546619399, True)","(0.15859171385639004, True)","(0.8358133695194027, True)","(0.3623016225440836, True)","(0.12872014364785123, True)",26.8
CRM,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.6028999280432492, True)","(0.5966907314487402, True)","(0.47882684731640757, True)",35.84
LRCX,"(0.0836828442030711, True)","(0.06753056991589323, True)","(0.21677151682999474, True)","(0.08770016411245851, True)","(0.23848989010898736, True)",37.5
BLK,"(0.4454538902342977, True)","(0.3826819898933095, True)","(0.11737194850874533, True)","(0.2004769183262204, True)","(0.7682113423326407, True)",41.43
