Price,Close,High,Low,Open,Volume
Ticker,COP,COP,COP,COP,COP
Date,,,,,
2015-01-02,47.56376647949219,47.95024292604526,47.087580278353045,47.27391309353359,5701800
2015-01-05,45.300148010253906,46.915055491184134,45.15522129335742,46.728717379977354,10938900
2015-01-06,43.429893493652344,45.96267005214992,43.39538751034116,45.058601179263036,18054700
2015-01-07,43.71975326538086,44.32707129656613,43.37468811685335,44.17524178876981,12350500
2015-01-08,44.810150146484375,45.196621339527795,44.09931694559019,44.754938471685286,10348300
2015-01-09,44.80324172973633,45.09309508802408,44.17522612011287,44.81704727933543,7984100
2015-01-12,43.526512145996094,44.354666292112384,43.20905288114233,44.27185403666615,8317100
2015-01-13,43.09173583984375,44.05101918730654,42.44991443748923,43.609333575120736,10240900
2015-01-14,43.2159538269043,43.32637455727822,41.99442301628388,42.66385017503464,10005400
2015-01-15,42.38089370727539,44.078613296561855,42.36019064458384,43.899180610413865,9994000
2015-01-16,43.533416748046875,43.8094672641165,42.42920678585458,42.6155422663365,10031400
2015-01-20,43.60932159423828,43.671433410712936,42.62243530616182,43.347074042578626,6890500
2015-01-21,44.5410041809082,44.70663395627122,43.63693266220587,44.09241849341089,7979700
2015-01-22,45.06551742553711,45.258753095947895,44.16834579545606,44.92748818576004,8759500
2015-01-23,44.61692428588867,45.3484607081434,44.61002150871374,45.10001338260854,6392900
2015-01-26,45.42436981201172,45.54859345933001,44.092418307817255,44.7825485117465,5861100
2015-01-27,45.23112869262695,45.65210848701167,44.89986391833531,45.05859616264224,5939900
2015-01-28,43.188350677490234,45.1690210504059,43.133138995909285,45.03789988824585,8679300
2015-01-29,43.353981018066406,43.878481469322224,41.84949689980627,43.602428323120435,11360100
2015-01-30,43.46440124511719,44.03721059540862,42.20146430261395,42.946803576479915,10524300
2015-02-02,45.389862060546875,45.396764836994855,43.76115695965686,44.49269593750994,10075800
2015-02-03,46.749420166015625,46.90124965860537,45.90056293421045,46.190416366276814,15631700
2015-02-04,45.45887756347656,46.0040810460414,45.02409217349642,45.97647520657635,12243300
2015-02-05,46.63209533691406,46.64589562358126,45.74872956250401,46.252521637624426,8707900
2015-02-06,46.576873779296875,47.19108907856212,46.36293515704863,47.09447129656136,7653100
2015-02-09,46.82533264160156,47.349833063674424,46.68040593259634,46.90815016043692,8070600
2015-02-10,46.92193603515625,47.00475352855355,45.89364383552421,46.83222103293128,7876600
2015-02-11,46.84602737426758,47.253206854537446,46.10069089839619,46.39744703985572,8365400
2015-02-12,47.46693801879883,48.03201890345199,47.17393350990579,47.60646245469569,8642800
2015-02-13,48.750579833984375,48.91103772544096,47.92737288861226,48.01806856215922,8419200
2015-02-17,48.464542388916016,48.81335872357352,47.80178815955784,48.24130014763581,7652700
2015-02-18,47.250675201416016,48.17852284540963,47.16695734343594,47.459961862591825,8932600
2015-02-19,47.03438949584961,47.334371732370755,45.63912426970742,46.08560871627177,9022600
2015-02-20,47.00648880004883,47.03439474638859,46.27397766806123,46.87394220807871,8781600
2015-02-23,46.685577392578125,47.11811156772995,46.39955076317452,46.51814704067077,6072800
2015-02-24,46.8041877746582,47.07626949695832,46.57397296735276,47.069291677792535,4867500
2015-02-25,47.11112594604492,47.327390336536126,46.71347559956951,47.06926969563089,6151800
2015-02-26,45.939117431640625,46.664656160486615,45.7577314188002,46.664656160486615,7837000
2015-02-27,45.48564529418945,46.11351572496346,45.436811223046725,46.04375352654736,6963500
2015-03-02,44.92754364013672,45.59727034417732,44.52989324328403,45.48564656557986,8059200
2015-03-03,45.19264602661133,45.53448456363534,44.836851854802156,44.899641566305036,5424700
2015-03-04,44.82289505004883,45.199617296953306,44.41826686013132,45.199617296953306,5487100
2015-03-05,44.18108367919922,44.704308245776616,44.18108367919922,44.655474165796676,5987600
2015-03-06,43.804351806640625,44.42524439787189,43.720633978126585,43.95085401465441,6732800
