Price,Close,High,Low,Open,Volume
Ticker,HON,HON,HON,HON,HON
Date,,,,,
2015-01-02,70.934326171875,71.37310404599545,70.13460512376399,70.91309033228117,2369019
2015-01-05,69.5826187133789,70.70081175844635,69.3561510614196,70.70081175844635,3511962
2015-01-06,69.41985321044922,70.41065537702754,69.02353474742321,69.5684741363373,4709103
2015-01-07,69.92231750488281,70.66542197058929,69.70292847772926,70.11340408564104,2905101
2015-01-08,71.19619750976562,71.3377457828962,70.51679464199371,70.51679464199371,2850235
2015-01-09,70.01431274414062,71.32358615449692,69.9364660037447,71.25989063553152,2950952
2015-01-12,69.67461395263672,70.3257083702846,68.81827573990073,70.20540195204305,3071367
2015-01-13,70.17002868652344,70.93436307529727,69.35615599761083,70.16295006964286,3809216
2015-01-14,69.8444595336914,70.03554007473903,69.12966363822993,69.12966363822993,3449195
2015-01-15,68.72625732421875,70.3398508208282,68.719178710218,70.24784686584908,3889345
2015-01-16,69.51183319091797,69.58260732507804,68.29456375184995,68.55641843382428,5375059
2015-01-20,70.04971313476562,70.5946524392076,69.31368723708258,70.26202956869605,4231226
2015-01-21,70.24079132080078,70.42479929119214,69.46230576831849,69.69585203496439,2788135
2015-01-22,70.33985900878906,70.73617731282184,69.44813381119897,70.59463506138157,4926229
2015-01-23,72.54085540771484,73.54581446011613,71.12542680872549,71.47928546072563,6546492
2015-01-26,72.1091537475586,72.53378655554029,71.66329110188126,72.48424225556846,3672442
2015-01-27,71.40853118896484,72.04547453612605,70.7503579993017,71.35899288678935,2800266
2015-01-28,70.64417266845703,72.54085083755723,70.6017129979383,71.85436942241415,4243579
2015-01-29,70.89188385009766,70.99096043146194,69.39860243300068,70.45309982245321,5041859
2015-01-30,69.18628692626953,70.59464300228969,69.03059343667734,70.24786294500038,4561422
2015-02-02,70.60881042480469,70.67957856419407,68.60597052777491,69.75955068904501,3964910
2015-02-03,71.6703872680664,71.69869572826325,70.74328068986004,70.77158915005688,3076375
2015-02-04,71.30238342285156,71.83317160398965,71.06175848596014,71.40146604657554,2742729
2015-02-05,72.4276351928711,72.54086902131972,71.35898643012794,71.47929887510769,2844003
2015-02-06,72.01007080078125,72.79563481619996,71.79067580061333,72.3639234308075,2676178
2015-02-09,71.89683532714844,72.17284724549667,71.5712911282406,71.79775874800653,2507908
2015-02-10,72.49839782714844,72.63994009023179,71.81191033992994,72.18700484836505,1894815
2015-02-11,72.49132537841797,72.7602587056596,72.09500700807065,72.32147464826912,2141877
2015-02-12,73.24858093261719,73.39720182349785,72.64702476210927,72.65410337810641,2161353
2015-02-13,73.87136840820312,73.9209066991129,73.07164709302737,73.07164709302737,2192625
2015-02-17,73.60242462158203,73.8996663427551,73.36179979882188,73.65196290544066,2557877
2015-02-18,74.04120635986328,74.27475256103853,73.64488808290368,73.7651944816514,2522933
2015-02-19,74.09784698486328,74.30308480340742,73.61660320873261,73.79352656084488,2183166
2015-02-20,74.56491088867188,74.58614072132679,73.30517600398254,74.01997179046198,3755686
2015-02-23,73.87136840820312,74.52246283262654,73.68028184210283,74.52246283262654,3423042
2015-02-24,74.18289947509766,74.3535973178429,73.67079990788072,73.84861167048565,2617751
2015-02-25,74.24691772460938,74.55274987057899,74.019314546491,74.04065630752127,2385267
2015-02-26,73.7134780883789,74.22557162147982,73.56411596481249,74.1117730585685,2119731
2015-02-27,73.10177612304688,73.87703000675897,73.06621257779912,73.5071848375268,3333231
2015-03-02,74.38202667236328,74.41759022298139,72.92397544783681,73.1017871619478,3550580
2015-03-03,73.99795532226562,74.25400202247258,73.68500935534601,73.88415678884031,2765766
2015-03-04,73.29383850097656,74.22556872772448,72.8457521477464,74.22556872772448,2789248
2015-03-05,73.3507080078125,73.85569343531094,73.26535912359878,73.77034455109722,2496112
2015-03-06,72.45455932617188,73.09467913295131,72.26251976075002,72.76750531106893,2745845
2015-03-09,73.35783386230469,73.61388055661305,72.5470163108384,72.653700923722,2763207
2015-03-10,71.9566879272461,72.83151873527487,71.9566879272461,72.64659308774714,3342357
2015-03-11,71.58683776855469,72.17005831649853,71.53705241611465,72.02781013882688,2747626
2015-03-12,72.87418365478516,72.95242467350438,71.82865512971125,71.82865512971125,2898757
2015-03-13,71.9566879272461,72.86708228887329,71.33790383496184,72.81018301870785,2882954
2015-03-16,73.10177612304688,73.15156146300654,72.11314096784824,72.19138197518903,2488989
2015-03-17,72.69638061523438,72.90975590423125,72.43321997309765,72.56836027302045,2058744
2015-03-18,73.85574340820312,74.15446772456579,71.97094068547067,72.53282574929896,3292833
2015-03-19,73.27252960205078,73.67793862476033,72.88134238486587,73.45034142449998,2490770
2015-03-20,74.96525573730469,75.49869094065627,73.68501608044507,73.76325106957042,11087660
2015-03-23,74.18289947509766,74.95815368731091,73.91262487126042,74.95815368731091,4475173
2015-03-24,74.01220703125,74.55986415975237,73.77038205023013,74.04065667378282,2669946
2015-03-25,72.49723815917969,74.26112778660502,72.49012423996088,74.26112778660502,2747515
2015-03-26,72.66792297363281,72.98087497341238,71.75042080608793,72.10604423557771,3090843
2015-03-27,73.22982788085938,73.2938410820009,72.55414438688565,72.62527150792762,3549467
2015-03-30,74.61676025390625,74.75189454041289,73.6708021314156,73.76326497543862,2877501
2015-03-31,74.18999481201172,74.55273219575001,73.82014954859673,74.14732337803085,3061574
2015-04-01,73.4289779663086,74.0406543197897,72.98800550157887,74.00509075800893,2948837
2015-04-02,73.6209945678711,73.97661799657337,73.12312297548384,73.52141783380182,2266522
2015-04-06,74.31803894042969,74.72344785496796,73.07336255437328,73.13026183925649,2446143
2015-04-07,74.06198120117188,74.57407468935781,74.06198120117188,74.22556511126386,2035485
2015-04-08,73.86285400390625,74.49586013804313,73.60680115056334,73.96242474555527,2321053
2015-04-09,74.24691772460938,74.41761557896194,73.57834206992271,73.8699524141871,2177267
2015-04-10,74.4674072265625,74.60965545052511,73.94819969935341,74.51719259520388,2344758
2015-04-13,73.4573974609375,74.43180483553645,73.4573974609375,74.18997996145019,3118220
2015-04-14,73.43606567382812,73.64944092936805,72.88840875822093,73.23691825351455,2433790
2015-04-15,73.82015991210938,74.1402198678194,73.60678459530901,73.79171027246807,2473743
